name,price_level,rating,types,user_ratings_total,place_id,hidden_gem
Ngipok Steak Kafe di Malang,,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",49,ChIJq9C33ucp1i0R4ylnjeS7u4Q,0
Ocean Garden Resto Soekarno Hatta,2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",5262,ChIJG3MB7-Yp1i0RxXWeQgA5FgY,0
Bakso Damas,2,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",6401,ChIJc4GwL-Ep1i0RhZCXs3Np6kA,0
Quest Hotel Simpang Lima Semarang,,4.4,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",9526,ChIJd0gb_VSLcC4RQZ8hdkGgj9M,0
Waroeng Kaligarong - Kuliner Semarang Panjaitan,2,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",8909,ChIJ3bNM4qeMcC4Rw2h1YAGCthg,0
Es Kelapa Muda Pak No,,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",6,ChIJgcuLtK2McC4REbZitfFG6l4,0
Kebab Turki Babarafi (Daffa Car Wash),,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",10,ChIJ2ZucQT-51C8RjbRWspF6woU,0
麥當勞-埔里信義餐廳,1,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",2796,ChIJoV9p_KbZaDQR3s2J0e3ekjk,0
Quest Hotel Simpang Lima Semarang,,4.4,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",9526,ChIJd0gb_VSLcC4RQZ8hdkGgj9M,0
Spiegel Bar & Bistro,2,4.6,"['bar', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",7408,ChIJB-61RVbzcC4R1Ht_G31Ha8E,0
Platinum Restaurant and Kota Lama Coffee & Terrace,,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",5,ChIJMyUyLar0cC4RUI2MvYcHGtk,0
Toko Oen,2,4.4,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",7066,ChIJlXBR3U2LcC4R4HHkfElxS_g,0
Pandanaran Hotel Simpang Lima,,4.4,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",7045,ChIJ3aT3vlqLcC4ROiy7i3PrMHo,0
麥當勞-埔里信義餐廳,1,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",2796,ChIJoV9p_KbZaDQR3s2J0e3ekjk,0
Solaria Ciputra Mall,2,2.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",139,ChIJ2xKBvl73aS4R7pfu3qZHXe8,0
Royal Steak Citraland Mall,,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",14,ChIJt_wE5ViLcC4RjATI-B32Jyo,0
Quest Hotel Simpang Lima Semarang,,4.4,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",9526,ChIJd0gb_VSLcC4RQZ8hdkGgj9M,0
Super Penyet,2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",5094,ChIJE8TGGlSLcC4RXfqTxEghLFI,0
Platinum Restaurant and Kota Lama Coffee & Terrace,,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",5,ChIJMyUyLar0cC4RUI2MvYcHGtk,0
Toko Oen,2,4.4,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",7066,ChIJlXBR3U2LcC4R4HHkfElxS_g,0
